"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0035111,1.2589e-05,0.011563,1,3.57e-08,3.57e-08,1.19e-07,0
0.0035277,1.2645e-05,0.011539,1,3.5938e-08,3.5938e-08,1.19e-07,0
0.0035435,1.2701e-05,0.011514,1,3.6176e-08,3.6176e-08,1.19e-07,0
0.0035591,1.2758e-05,0.011489,1,3.6414e-08,3.6414e-08,1.19e-07,0
0.0035747,1.2814e-05,0.011464,1,3.6652e-08,3.6652e-08,1.19e-07,0
0.0035902,1.2871e-05,0.011439,1,3.689e-08,3.689e-08,1.19e-07,0
0.0036058,1.2928e-05,0.011414,1,3.7128e-08,3.7128e-08,1.19e-07,0
0.0036214,1.2985e-05,0.011389,1,3.7366e-08,3.7366e-08,1.19e-07,0
0.003637,1.3042e-05,0.011364,1,3.7604e-08,3.7604e-08,1.19e-07,0
0.0036526,1.3098e-05,0.011339,1,3.7842e-08,3.7842e-08,1.19e-07,0
0.0036678,1.3156e-05,0.011314,1,3.808e-08,3.808e-08,1.19e-07,0
0.0036823,1.3214e-05,0.011288,1,3.8318e-08,3.8318e-08,1.19e-07,0
0.0036969,1.3272e-05,0.011262,1,3.8556e-08,3.8556e-08,1.19e-07,0
0.0037114,1.333e-05,0.011236,1,3.8794e-08,3.8794e-08,1.19e-07,0
0.0037259,1.3388e-05,0.01121,1,3.9032e-08,3.9032e-08,1.19e-07,0
0.0037405,1.3446e-05,0.011184,1,3.927e-08,3.927e-08,1.19e-07,0
0.003755,1.3504e-05,0.011158,1,3.9508e-08,3.9508e-08,1.19e-07,0
0.0037696,1.3562e-05,0.011131,1,3.9746e-08,3.9746e-08,1.19e-07,0
0.0037841,1.362e-05,0.011105,1,3.9984e-08,3.9984e-08,1.19e-07,0
0.0037976,1.3679e-05,0.011078,1,4.0222e-08,4.0222e-08,1.19e-07,0
0.003811,1.3738e-05,0.011051,1,4.046e-08,4.046e-08,1.19e-07,0
0.0038245,1.3797e-05,0.011024,1,4.0698e-08,4.0698e-08,1.19e-07,0
0.0038379,1.3857e-05,0.010997,1,4.0936e-08,4.0936e-08,1.19e-07,0
0.0038514,1.3916e-05,0.01097,1,4.1174e-08,4.1174e-08,1.19e-07,0
0.0038648,1.3975e-05,0.010943,1,4.1412e-08,4.1412e-08,1.19e-07,0
0.0038782,1.4034e-05,0.010916,1,4.165e-08,4.165e-08,1.19e-07,0
0.0038917,1.4093e-05,0.010889,1,4.1888e-08,4.1888e-08,1.19e-07,0
0.0039045,1.4153e-05,0.010862,1,4.2126e-08,4.2126e-08,1.19e-07,0
0.0039168,1.4213e-05,0.010834,1,4.2364e-08,4.2364e-08,1.19e-07,0
0.0039291,1.4273e-05,0.010806,1,4.2602e-08,4.2602e-08,1.19e-07,0
0.0039413,1.4334e-05,0.010778,1,4.284e-08,4.284e-08,1.19e-07,0
0.0039536,1.4394e-05,0.01075,1,4.3078e-08,4.3078e-08,1.19e-07,0
0.0039659,1.4454e-05,0.010722,1,4.3316e-08,4.3316e-08,1.19e-07,0
0.0039782,1.4514e-05,0.010695,1,4.3554e-08,4.3554e-08,1.19e-07,0
0.0039905,1.4574e-05,0.010667,1,4.3792e-08,4.3792e-08,1.19e-07,0
0.0040026,1.4634e-05,0.010639,1,4.403e-08,4.403e-08,1.19e-07,0
0.0040137,1.4695e-05,0.01061,1,4.4268e-08,4.4268e-08,1.19e-07,0
0.0040248,1.4756e-05,0.010581,1,4.4506e-08,4.4506e-08,1.19e-07,0
0.0040358,1.4817e-05,0.010552,1,4.4744e-08,4.4744e-08,1.19e-07,0
0.0040469,1.4878e-05,0.010524,1,4.4982e-08,4.4982e-08,1.19e-07,0
0.004058,1.4939e-05,0.010495,1,4.522e-08,4.522e-08,1.19e-07,0
0.0040691,1.5e-05,0.010466,1,4.5458e-08,4.5458e-08,1.19e-07,0
0.0040802,1.5061e-05,0.010437,1,4.5696e-08,4.5696e-08,1.19e-07,0
0.0040912,1.5122e-05,0.010409,1,4.5934e-08,4.5934e-08,1.19e-07,0
0.0041014,1.5184e-05,0.010379,1,4.6172e-08,4.6172e-08,1.19e-07,0
0.0041112,1.5246e-05,0.01035,1,4.641e-08,4.641e-08,1.19e-07,0
0.004121,1.5307e-05,0.01032,1,4.6648e-08,4.6648e-08,1.19e-07,0
0.0041309,1.5369e-05,0.010291,1,4.6886e-08,4.6886e-08,1.19e-07,0
0.0041407,1.543e-05,0.010261,1,4.7124e-08,4.7124e-08,1.19e-07,0
0.0041505,1.5492e-05,0.010232,1,4.7362e-08,4.7362e-08,1.19e-07,0
0.0041603,1.5554e-05,0.010202,1,4.76e-08,4.76e-08,1.19e-07,0
0.0041701,1.5615e-05,0.010173,1,4.7838e-08,4.7838e-08,1.19e-07,0
0.0041795,1.5677e-05,0.010143,1,4.8076e-08,4.8076e-08,1.19e-07,0
0.004188,1.5739e-05,0.010113,1,4.8314e-08,4.8314e-08,1.19e-07,0
0.0041965,1.5801e-05,0.010083,1,4.8552e-08,4.8552e-08,1.19e-07,0
0.0042051,1.5864e-05,0.010052,1,4.879e-08,4.879e-08,1.19e-07,0
0.0042136,1.5926e-05,0.010022,1,4.9028e-08,4.9028e-08,1.19e-07,0
0.0042221,1.5988e-05,0.0099919,1,4.9266e-08,4.9266e-08,1.19e-07,0
0.0042306,1.605e-05,0.0099617,1,4.9504e-08,4.9504e-08,1.19e-07,0
0.0042391,1.6112e-05,0.0099315,1,4.9742e-08,4.9742e-08,1.19e-07,0
