"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00093077,3.8123e-06,0.011899,1,2.6418e-08,2.6418e-08,1.19e-07,0
-0.00093765,3.816e-06,0.011893,1,2.6656e-08,2.6656e-08,1.19e-07,0
-0.00094453,3.8197e-06,0.011886,1,2.6894e-08,2.6894e-08,1.19e-07,0
-0.00095141,3.8234e-06,0.011879,1,2.7132e-08,2.7132e-08,1.19e-07,0
-0.00095829,3.827e-06,0.011872,1,2.737e-08,2.737e-08,1.19e-07,0
-0.00096517,3.8307e-06,0.011865,1,2.7608e-08,2.7608e-08,1.19e-07,0
-0.00097205,3.8344e-06,0.011858,1,2.7846e-08,2.7846e-08,1.19e-07,0
-0.00097883,3.8382e-06,0.011851,1,2.8084e-08,2.8084e-08,1.19e-07,0
-0.0009854,3.8421e-06,0.011844,1,2.8322e-08,2.8322e-08,1.19e-07,0
-0.00099197,3.846e-06,0.011837,1,2.856e-08,2.856e-08,1.19e-07,0
-0.00099854,3.8499e-06,0.01183,1,2.8798e-08,2.8798e-08,1.19e-07,0
-0.0010051,3.8538e-06,0.011822,1,2.9036e-08,2.9036e-08,1.19e-07,0
-0.0010117,3.8577e-06,0.011815,1,2.9274e-08,2.9274e-08,1.19e-07,0
-0.0010183,3.8616e-06,0.011808,1,2.9512e-08,2.9512e-08,1.19e-07,0
-0.0010248,3.8656e-06,0.011801,1,2.975e-08,2.975e-08,1.19e-07,0
-0.0010314,3.8695e-06,0.011793,1,2.9988e-08,2.9988e-08,1.19e-07,0
-0.0010377,3.8736e-06,0.011786,1,3.0226e-08,3.0226e-08,1.19e-07,0
-0.0010439,3.8778e-06,0.011778,1,3.0464e-08,3.0464e-08,1.19e-07,0
-0.0010501,3.8819e-06,0.01177,1,3.0702e-08,3.0702e-08,1.19e-07,0
-0.0010564,3.886e-06,0.011763,1,3.094e-08,3.094e-08,1.19e-07,0
-0.0010626,3.8902e-06,0.011755,1,3.1178e-08,3.1178e-08,1.19e-07,0
-0.0010689,3.8943e-06,0.011747,1,3.1416e-08,3.1416e-08,1.19e-07,0
-0.0010751,3.8985e-06,0.01174,1,3.1654e-08,3.1654e-08,1.19e-07,0
-0.0010814,3.9026e-06,0.011732,1,3.1892e-08,3.1892e-08,1.19e-07,0
-0.0010874,3.9069e-06,0.011724,1,3.213e-08,3.213e-08,1.19e-07,0
-0.0010933,3.9112e-06,0.011716,1,3.2368e-08,3.2368e-08,1.19e-07,0
-0.0010992,3.9156e-06,0.011708,1,3.2606e-08,3.2606e-08,1.19e-07,0
-0.0011051,3.9199e-06,0.0117,1,3.2844e-08,3.2844e-08,1.19e-07,0
-0.001111,3.9243e-06,0.011692,1,3.3082e-08,3.3082e-08,1.19e-07,0
-0.0011169,3.9287e-06,0.011684,1,3.332e-08,3.332e-08,1.19e-07,0
-0.0011228,3.933e-06,0.011675,1,3.3558e-08,3.3558e-08,1.19e-07,0
-0.0011287,3.9374e-06,0.011667,1,3.3796e-08,3.3796e-08,1.19e-07,0
-0.0011345,3.9418e-06,0.011659,1,3.4034e-08,3.4034e-08,1.19e-07,0
-0.00114,3.9463e-06,0.011651,1,3.4272e-08,3.4272e-08,1.19e-07,0
-0.0011456,3.9509e-06,0.011642,1,3.451e-08,3.451e-08,1.19e-07,0
-0.0011511,3.9555e-06,0.011634,1,3.4748e-08,3.4748e-08,1.19e-07,0
-0.0011566,3.96e-06,0.011625,1,3.4986e-08,3.4986e-08,1.19e-07,0
