"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.008329,-1.5991e-05,0.99997,1,1.9516e-08,1.9516e-08,1.19e-07,1.52e-07
-0.0084643,-1.6133e-05,0.99996,1,1.9754e-08,1.9754e-08,1.19e-07,1.52e-07
-0.0085996,-1.6276e-05,0.99996,1,1.9992e-08,1.9992e-08,1.19e-07,1.52e-07
-0.008748,-1.6444e-05,0.99996,1,2.023e-08,2.023e-08,1.19e-07,1.52e-07
-0.0088969,-1.6613e-05,0.99996,1,2.0468e-08,2.0468e-08,1.19e-07,1.52e-07
-0.0090458,-1.6781e-05,0.99996,1,2.0706e-08,2.0706e-08,1.19e-07,1.52e-07
-0.0091946,-1.695e-05,0.99996,1,2.0944e-08,2.0944e-08,1.19e-07,1.52e-07
-0.0093435,-1.7119e-05,0.99996,1,2.1182e-08,2.1182e-08,1.19e-07,1.52e-07
-0.0094924,-1.7288e-05,0.99995,1,2.142e-08,2.142e-08,1.19e-07,1.52e-07
-0.0096413,-1.7457e-05,0.99995,1,2.1658e-08,2.1658e-08,1.19e-07,1.52e-07
-0.0097901,-1.7626e-05,0.99995,1,2.1896e-08,2.1896e-08,1.19e-07,1.52e-07
-0.0099483,-1.7813e-05,0.99995,1,2.2134e-08,2.2134e-08,1.19e-07,1.52e-07
-0.010114,-1.8013e-05,0.99995,1,2.2372e-08,2.2372e-08,1.19e-07,1.52e-07
-0.010279,-1.8213e-05,0.99995,1,2.261e-08,2.261e-08,1.19e-07,1.52e-07
-0.010445,-1.8414e-05,0.99995,1,2.2848e-08,2.2848e-08,1.19e-07,1.52e-07
-0.01061,-1.8614e-05,0.99994,1,2.3086e-08,2.3086e-08,1.19e-07,1.52e-07
-0.010776,-1.8814e-05,0.99994,1,2.3324e-08,2.3324e-08,1.19e-07,1.52e-07
-0.010941,-1.9015e-05,0.99994,1,2.3562e-08,2.3562e-08,1.19e-07,1.52e-07
-0.011107,-1.9215e-05,0.99994,1,2.38e-08,2.38e-08,1.19e-07,1.52e-07
-0.011275,-1.9421e-05,0.99994,1,2.4038e-08,2.4038e-08,1.19e-07,1.52e-07
-0.011461,-1.9659e-05,0.99993,1,2.4276e-08,2.4276e-08,1.19e-07,1.52e-07
-0.011647,-1.9897e-05,0.99993,1,2.4514e-08,2.4514e-08,1.19e-07,1.52e-07
-0.011833,-2.0135e-05,0.99993,1,2.4752e-08,2.4752e-08,1.19e-07,1.52e-07
-0.012019,-2.0372e-05,0.99993,1,2.499e-08,2.499e-08,1.19e-07,1.52e-07
-0.012205,-2.061e-05,0.99993,1,2.5228e-08,2.5228e-08,1.19e-07,1.52e-07
-0.01239,-2.0848e-05,0.99992,1,2.5466e-08,2.5466e-08,1.19e-07,1.52e-07
-0.012576,-2.1086e-05,0.99992,1,2.5704e-08,2.5704e-08,1.19e-07,1.52e-07
-0.012762,-2.1323e-05,0.99992,1,2.5942e-08,2.5942e-08,1.19e-07,1.52e-07
-0.012967,-2.1595e-05,0.99992,1,2.618e-08,2.618e-08,1.19e-07,1.52e-07
-0.013178,-2.1878e-05,0.99991,1,2.6418e-08,2.6418e-08,1.19e-07,1.52e-07
-0.013389,-2.2161e-05,0.99991,1,2.6656e-08,2.6656e-08,1.19e-07,1.52e-07
-0.013599,-2.2444e-05,0.99991,1,2.6894e-08,2.6894e-08,1.19e-07,1.52e-07
-0.01381,-2.2726e-05,0.9999,1,2.7132e-08,2.7132e-08,1.19e-07,1.52e-07
-0.014021,-2.3009e-05,0.9999,1,2.737e-08,2.737e-08,1.19e-07,1.52e-07
-0.014232,-2.3292e-05,0.9999,1,2.7608e-08,2.7608e-08,1.19e-07,1.52e-07
-0.014443,-2.3575e-05,0.9999,1,2.7846e-08,2.7846e-08,1.19e-07,1.52e-07
-0.014664,-2.3877e-05,0.99989,1,2.8084e-08,2.8084e-08,1.19e-07,1.52e-07
-0.014906,-2.4215e-05,0.99989,1,2.8322e-08,2.8322e-08,1.19e-07,1.52e-07
-0.015148,-2.4552e-05,0.99988,1,2.856e-08,2.856e-08,1.19e-07,1.52e-07
-0.015389,-2.489e-05,0.99988,1,2.8798e-08,2.8798e-08,1.19e-07,1.52e-07
-0.015631,-2.5228e-05,0.99988,1,2.9036e-08,2.9036e-08,1.19e-07,1.52e-07
