"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.4943e-11,-2.9658e-05,-0.00027596,1,4.73e-09,1.275e-07,1.0473e-07,1.96e-07
-5.5255e-11,-2.9628e-05,-0.00027587,1,4.785e-09,1.275e-07,1.0478e-07,1.96e-07
-5.5566e-11,-2.9598e-05,-0.00027578,1,4.84e-09,1.275e-07,1.0484e-07,1.96e-07
-5.5877e-11,-2.9568e-05,-0.00027569,1,4.895e-09,1.275e-07,1.0489e-07,1.96e-07
-5.6189e-11,-2.9538e-05,-0.0002756,1,4.95e-09,1.275e-07,1.0495e-07,1.96e-07
-5.6505e-11,-2.9507e-05,-0.00027552,1,5.005e-09,1.275e-07,1.05e-07,1.96e-07
-5.6871e-11,-2.9473e-05,-0.00027543,1,5.06e-09,1.275e-07,1.0506e-07,1.96e-07
-5.7237e-11,-2.9439e-05,-0.00027534,1,5.115e-09,1.275e-07,1.0511e-07,1.96e-07
-5.7602e-11,-2.9405e-05,-0.00027525,1,5.17e-09,1.275e-07,1.0517e-07,1.96e-07
-5.7968e-11,-2.9371e-05,-0.00027516,1,5.225e-09,1.275e-07,1.0522e-07,1.96e-07
-5.8334e-11,-2.9337e-05,-0.00027507,1,5.28e-09,1.275e-07,1.0528e-07,1.96e-07
-5.87e-11,-2.9303e-05,-0.00027498,1,5.335e-09,1.275e-07,1.0533e-07,1.96e-07
-5.9066e-11,-2.9269e-05,-0.0002749,1,5.39e-09,1.275e-07,1.0539e-07,1.96e-07
-5.9432e-11,-2.9235e-05,-0.00027481,1,5.445e-09,1.275e-07,1.0544e-07,1.96e-07
-5.9797e-11,-2.92e-05,-0.00027472,1,5.5e-09,1.275e-07,1.055e-07,1.96e-07
-6.0163e-11,-2.9166e-05,-0.00027463,1,5.555e-09,1.275e-07,1.0555e-07,1.96e-07
-6.0529e-11,-2.9132e-05,-0.00027454,1,5.61e-09,1.275e-07,1.0561e-07,1.96e-07
-6.0895e-11,-2.9098e-05,-0.00027445,1,5.665e-09,1.275e-07,1.0566e-07,1.96e-07
-6.1261e-11,-2.9064e-05,-0.00027437,1,5.72e-09,1.275e-07,1.0572e-07,1.96e-07
-6.1627e-11,-2.903e-05,-0.00027428,1,5.775e-09,1.275e-07,1.0577e-07,1.96e-07
-6.1993e-11,-2.8996e-05,-0.00027419,1,5.83e-09,1.275e-07,1.0583e-07,1.96e-07
-6.2358e-11,-2.8962e-05,-0.0002741,1,5.885e-09,1.275e-07,1.0588e-07,1.96e-07
-6.2724e-11,-2.8928e-05,-0.00027401,1,5.94e-09,1.275e-07,1.0594e-07,1.96e-07
-6.309e-11,-2.8894e-05,-0.00027392,1,5.995e-09,1.275e-07,1.0599e-07,1.96e-07
-6.3413e-11,-2.8856e-05,-0.00027383,1,6.05e-09,1.275e-07,1.0605e-07,1.96e-07
-6.3732e-11,-2.8818e-05,-0.00027375,1,6.105e-09,1.275e-07,1.061e-07,1.96e-07
-6.4051e-11,-2.8779e-05,-0.00027366,1,6.16e-09,1.275e-07,1.0616e-07,1.96e-07
-6.4369e-11,-2.8741e-05,-0.00027357,1,6.215e-09,1.275e-07,1.0621e-07,1.96e-07
-6.4688e-11,-2.8703e-05,-0.00027348,1,6.27e-09,1.275e-07,1.0627e-07,1.96e-07
-6.5007e-11,-2.8665e-05,-0.0002734,1,6.325e-09,1.275e-07,1.0632e-07,1.96e-07
-6.5326e-11,-2.8627e-05,-0.00027331,1,6.38e-09,1.275e-07,1.0638e-07,1.96e-07
