"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.2783e-12,5.6442e-06,-0.0003273,1,3.1365e-08,1.275e-07,3.1365e-08,6.4e-08
8.4454e-12,5.6974e-06,-0.00032728,1,3.162e-08,1.275e-07,3.162e-08,6.4e-08
8.6125e-12,5.7507e-06,-0.00032726,1,3.1875e-08,1.275e-07,3.1875e-08,6.4e-08
8.5154e-12,5.8043e-06,-0.00032723,1,3.213e-08,1.275e-07,3.213e-08,6.4e-08
8.1641e-12,5.8583e-06,-0.00032721,1,3.2385e-08,1.275e-07,3.2385e-08,6.4e-08
7.8128e-12,5.9123e-06,-0.00032718,1,3.264e-08,1.275e-07,3.264e-08,6.4e-08
7.4616e-12,5.9663e-06,-0.00032716,1,3.2895e-08,1.275e-07,3.2895e-08,6.4e-08
6.7883e-12,6.0208e-06,-0.00032714,1,3.315e-08,1.275e-07,3.315e-08,6.4e-08
5.8897e-12,6.0755e-06,-0.00032711,1,3.3405e-08,1.275e-07,3.3405e-08,6.4e-08
4.991e-12,6.1303e-06,-0.00032709,1,3.366e-08,1.275e-07,3.366e-08,6.4e-08
4.0924e-12,6.185e-06,-0.00032706,1,3.3915e-08,1.275e-07,3.3915e-08,6.4e-08
2.9134e-12,6.2403e-06,-0.00032703,1,3.417e-08,1.275e-07,3.417e-08,6.4e-08
1.5942e-12,6.2958e-06,-0.00032701,1,3.4425e-08,1.275e-07,3.4425e-08,6.4e-08
2.75e-13,6.3513e-06,-0.00032698,1,3.468e-08,1.275e-07,3.468e-08,6.4e-08
-1.0442e-12,6.4068e-06,-0.00032695,1,3.4935e-08,1.275e-07,3.4935e-08,6.4e-08
-2.6687e-12,6.4629e-06,-0.00032693,1,3.519e-08,1.275e-07,3.519e-08,6.4e-08
-4.3975e-12,6.5192e-06,-0.0003269,1,3.5445e-08,1.275e-07,3.5445e-08,6.4e-08
-6.1264e-12,6.5754e-06,-0.00032687,1,3.57e-08,1.275e-07,3.57e-08,6.4e-08
-7.8553e-12,6.6317e-06,-0.00032684,1,3.5955e-08,1.275e-07,3.5955e-08,6.4e-08
-9.5142e-12,6.6887e-06,-0.00032681,1,3.621e-08,1.275e-07,3.621e-08,6.4e-08
-1.1158e-11,6.7457e-06,-0.00032678,1,3.6465e-08,1.275e-07,3.6465e-08,6.4e-08
-1.2802e-11,6.8028e-06,-0.00032676,1,3.672e-08,1.275e-07,3.672e-08,6.4e-08
-1.4446e-11,6.8599e-06,-0.00032673,1,3.6975e-08,1.275e-07,3.6975e-08,6.4e-08
-1.6084e-11,6.9176e-06,-0.0003267,1,3.723e-08,1.275e-07,3.723e-08,6.4e-08
-1.7721e-11,6.9755e-06,-0.00032666,1,3.7485e-08,1.275e-07,3.7485e-08,6.4e-08
-1.9357e-11,7.0334e-06,-0.00032663,1,3.774e-08,1.275e-07,3.774e-08,6.4e-08
-2.0994e-11,7.0912e-06,-0.0003266,1,3.7995e-08,1.275e-07,3.7995e-08,6.4e-08
-2.2717e-11,7.1499e-06,-0.00032657,1,3.825e-08,1.275e-07,3.825e-08,6.4e-08
-2.4442e-11,7.2086e-06,-0.00032654,1,3.8505e-08,1.275e-07,3.8505e-08,6.4e-08
-2.6166e-11,7.2672e-06,-0.00032651,1,3.876e-08,1.275e-07,3.876e-08,6.4e-08
-2.7858e-11,7.3259e-06,-0.00032647,1,3.9015e-08,1.275e-07,3.9015e-08,6.4e-08
-2.9023e-11,7.3854e-06,-0.00032644,1,3.927e-08,1.275e-07,3.927e-08,6.4e-08
-3.0188e-11,7.4449e-06,-0.00032641,1,3.9525e-08,1.275e-07,3.9525e-08,6.4e-08
-3.1353e-11,7.5044e-06,-0.00032637,1,3.978e-08,1.275e-07,3.978e-08,6.4e-08
-3.251e-11,7.564e-06,-0.00032634,1,4.0035e-08,1.275e-07,4.0035e-08,6.4e-08
-3.3618e-11,7.6243e-06,-0.0003263,1,4.029e-08,1.275e-07,4.029e-08,6.4e-08
-3.4726e-11,7.6846e-06,-0.00032627,1,4.0545e-08,1.275e-07,4.0545e-08,6.4e-08
-3.5834e-11,7.7448e-06,-0.00032623,1,4.08e-08,1.275e-07,4.08e-08,6.4e-08
-3.6936e-11,7.8053e-06,-0.00032619,1,4.1055e-08,1.275e-07,4.1055e-08,6.4e-08
-3.8019e-11,7.8664e-06,-0.00032616,1,4.131e-08,1.275e-07,4.131e-08,6.4e-08
-3.9101e-11,7.9275e-06,-0.00032612,1,4.1565e-08,1.275e-07,4.1565e-08,6.4e-08
-4.0183e-11,7.9886e-06,-0.00032608,1,4.182e-08,1.275e-07,4.182e-08,6.4e-08
-4.1148e-11,8.05e-06,-0.00032604,1,4.2075e-08,1.275e-07,4.2075e-08,6.4e-08
-4.1832e-11,8.1119e-06,-0.00032601,1,4.233e-08,1.275e-07,4.233e-08,6.4e-08
-4.2516e-11,8.1738e-06,-0.00032597,1,4.2585e-08,1.275e-07,4.2585e-08,6.4e-08
-4.32e-11,8.2358e-06,-0.00032593,1,4.284e-08,1.275e-07,4.284e-08,6.4e-08
-4.3736e-11,8.298e-06,-0.00032589,1,4.3095e-08,1.275e-07,4.3095e-08,6.4e-08
-4.4023e-11,8.3607e-06,-0.00032585,1,4.335e-08,1.275e-07,4.335e-08,6.4e-08
-4.431e-11,8.4235e-06,-0.00032581,1,4.3605e-08,1.275e-07,4.3605e-08,6.4e-08
-4.4596e-11,8.4862e-06,-0.00032576,1,4.386e-08,1.275e-07,4.386e-08,6.4e-08
-4.4827e-11,8.5493e-06,-0.00032572,1,4.4115e-08,1.275e-07,4.4115e-08,6.4e-08
-4.4989e-11,8.6129e-06,-0.00032568,1,4.437e-08,1.275e-07,4.437e-08,6.4e-08
-4.5152e-11,8.6764e-06,-0.00032564,1,4.4625e-08,1.275e-07,4.4625e-08,6.4e-08
-4.5314e-11,8.74e-06,-0.00032559,1,4.488e-08,1.275e-07,4.488e-08,6.4e-08
-4.5325e-11,8.804e-06,-0.00032555,1,4.5135e-08,1.275e-07,4.5135e-08,6.4e-08
-4.5201e-11,8.8683e-06,-0.0003255,1,4.539e-08,1.275e-07,4.539e-08,6.4e-08
-4.5078e-11,8.9327e-06,-0.00032546,1,4.5645e-08,1.275e-07,4.5645e-08,6.4e-08
-4.4954e-11,8.997e-06,-0.00032541,1,4.59e-08,1.275e-07,4.59e-08,6.4e-08
-4.4697e-11,9.0619e-06,-0.00032537,1,4.6155e-08,1.275e-07,4.6155e-08,6.4e-08
-4.4355e-11,9.127e-06,-0.00032532,1,4.641e-08,1.275e-07,4.641e-08,6.4e-08
-4.4012e-11,9.1921e-06,-0.00032527,1,4.6665e-08,1.275e-07,4.6665e-08,6.4e-08
-4.367e-11,9.2573e-06,-0.00032523,1,4.692e-08,1.275e-07,4.692e-08,6.4e-08
-4.2717e-11,9.323e-06,-0.00032518,1,4.7175e-08,1.275e-07,4.7175e-08,6.4e-08
-4.1485e-11,9.3889e-06,-0.00032513,1,4.743e-08,1.275e-07,4.743e-08,6.4e-08
-4.0253e-11,9.4548e-06,-0.00032508,1,4.7685e-08,1.275e-07,4.7685e-08,6.4e-08
-3.9021e-11,9.5207e-06,-0.00032503,1,4.794e-08,1.275e-07,4.794e-08,6.4e-08
-3.7962e-11,9.5872e-06,-0.00032498,1,4.8195e-08,1.275e-07,4.8195e-08,6.4e-08
-3.6957e-11,9.6539e-06,-0.00032493,1,4.845e-08,1.275e-07,4.845e-08,6.4e-08
-3.5951e-11,9.7206e-06,-0.00032488,1,4.8705e-08,1.275e-07,4.8705e-08,6.4e-08
-3.4946e-11,9.7872e-06,-0.00032482,1,4.896e-08,1.275e-07,4.896e-08,6.4e-08
-3.381e-11,9.8545e-06,-0.00032477,1,4.9215e-08,1.275e-07,4.9215e-08,6.4e-08
-3.265e-11,9.9219e-06,-0.00032472,1,4.947e-08,1.275e-07,4.947e-08,6.4e-08
-3.1489e-11,9.9893e-06,-0.00032466,1,4.9725e-08,1.275e-07,4.9725e-08,6.4e-08
-3.0329e-11,1.0057e-05,-0.00032461,1,4.998e-08,1.275e-07,4.998e-08,6.4e-08
-2.9118e-11,1.0125e-05,-0.00032455,1,5.0235e-08,1.275e-07,5.0235e-08,6.4e-08
-2.7901e-11,1.0193e-05,-0.0003245,1,5.049e-08,1.275e-07,5.049e-08,6.4e-08
-2.6685e-11,1.0261e-05,-0.00032444,1,5.0745e-08,1.275e-07,5.0745e-08,6.4e-08
